원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status,한자,word_grade
임차료,"남에게 물건이나 건물, 땅 등을 빌려 쓰는 대가로 주는 돈.",금융·세무,"남에게 물건이나 건물, 땅 등을 빌려 쓰는 대가로 주는 돈.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=600970",gloss,low,review,賃借料,고급
자립,남에게 매이거나 의지하지 않고 자기 힘으로 살아감.,보건·의료,남에게 매이거나 의지하지 않고 자기 힘으로 살아감.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=73519",gloss,low,review,自立,고급
자퇴,다니던 학교를 스스로 그만둠.,,다니던 학교를 스스로 그만둠.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=73639",gloss,low,review,自退,고급
재계약,계약을 다시 맺음. 또는 그 계약.,금융·세무,계약을 다시 맺음. 또는 그 계약.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74113",gloss,low,review,再契約,고급
재난,뜻하지 않게 일어난 불행한 사고나 고난.,보건·의료,뜻하지 않게 일어난 불행한 사고나 고난.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74469",gloss,low,review,災難,고급
재정,단체나 국가가 수입과 재산을 관리하며 사용하는 것. 또는 그 운영 상태.,,단체나 국가가 수입과 재산을 관리하며 사용하는 것. 또는 그 운영 상태.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=24955",gloss,low,review,財政,고급
적응력,어떠한 조건이나 환경에 익숙해지거나 알맞게 되는 능력.,복지,어떠한 조건이나 환경에 익숙해지거나 알맞게 되는 능력.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=84444",gloss,low,review,適應力,고급
전동,전기의 힘으로 기계를 움직임.,,전기의 힘으로 기계를 움직임.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74412",gloss,low,review,電動,고급
전염성,남에게 옮기는 성질.,보건·의료,남에게 옮기는 성질.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74765",gloss,low,review,傳染性,고급
전임자,예전에 그 일을 맡아보던 사람.,,예전에 그 일을 맡아보던 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=74815",gloss,low,review,前任者,고급
전학,다니던 학교에서 다른 학교로 옮겨 감.,,다니던 학교에서 다른 학교로 옮겨 감.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75107",gloss,low,review,轉學,고급
정확성,바르고 확실한 성질. 또는 그런 정도.,복지,바르고 확실한 성질. 또는 그런 정도.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75454",gloss,low,review,正確性,고급
제고,높임,복지,정도를 높임.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=75931",substitute,none,active,提高,고급
제조업,원료를 가공하여 물건을 만드는 사업.,,원료를 가공하여 물건을 만드는 사업.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=83763",gloss,low,review,製造業,고급
조항,법률이나 규정 등의 낱낱의 항목.,보건·의료,법률이나 규정 등의 낱낱의 항목.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=76029",gloss,low,review,條項,고급
종결,끝냄,행정,일을 다 끝냄.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=76394",substitute,none,active,終結,고급
종료,어떤 행동이나 일이 끝남. 또는 행동이나 일을 끝마침.,,어떤 행동이나 일이 끝남. 또는 행동이나 일을 끝마침.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75288",gloss,low,review,終了,고급
주도,중심이 되어 어떤 일을 이끎.,,중심이 되어 어떤 일을 이끎.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=75981",gloss,low,review,主導,고급
중장기,중기와 장기를 함께 이르는 말.,,중기와 장기를 함께 이르는 말.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601008",gloss,low,review,中長期,고급
중점,가장 중요하게 생각해야 할 점.,복지,가장 중요하게 생각해야 할 점.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=77189",gloss,low,review,重點,고급
증표,어떠한 사실이나 사건을 증명하거나 증거가 되는 표.,행정,어떠한 사실이나 사건을 증명하거나 증거가 되는 표.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=91662",gloss,low,review,證票,고급
지급액,내준 돈의 액수.,,내준 돈의 액수.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601013",gloss,low,review,支給額,고급
지방세,지방 자치 단체에서 그 지방의 주민에게 물리는 세금.,법률,지방 자치 단체에서 그 지방의 주민에게 물리는 세금.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=76239",gloss,low,review,地方稅,고급
지속,어떤 일이나 상태가 오래 계속됨. 또는 어떤 일이나 상태를 오래 계속함.,금융·세무,어떤 일이나 상태가 오래 계속됨. 또는 어떤 일이나 상태를 오래 계속함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=77372",gloss,low,review,持續,고급
지체,시간을 늦추거나 질질 끎.,복지,시간을 늦추거나 질질 끎.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=77396",gloss,low,review,遲滯,고급
직권,맡은 일에 따르는 권한.,법률,맡은 일에 따르는 권한.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=83640",gloss,low,review,職權,고급
직인,공공 기관이나 회사에서 책임자가 맡은 일에 따라 사용하는 도장.,행정,공공 기관이나 회사에서 책임자가 맡은 일에 따라 사용하는 도장.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=76802",gloss,low,review,職印,고급
질환,병,,몸에 생기는 온갖 병.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=78355",substitute,none,active,疾患,고급
차등,고르거나 가지런하지 않고 차별이 있음. 또는 그렇게 대함.,복지,고르거나 가지런하지 않고 차별이 있음. 또는 그렇게 대함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=82455",gloss,low,review,差等,고급
채무,어떤 사람이 다른 사람에게 어떤 행위를 해야 할 의무.,보건·의료,어떤 사람이 다른 사람에게 어떤 행위를 해야 할 의무.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=83125",gloss,low,review,債務,고급
철저,어떤 일을 하는 데 있어서 매우 조심하여 부족함이 없이 완벽함.,,어떤 일을 하는 데 있어서 매우 조심하여 부족함이 없이 완벽함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=83813",gloss,low,review,徹底,고급
청구서,다른 사람에게 돈이나 물건 등을 달라고 요구하는 내용을 적은 문서.,,다른 사람에게 돈이나 물건 등을 달라고 요구하는 내용을 적은 문서.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=77862",gloss,low,review,請求書,고급
체납,세금 등을 정해진 기간까지 내지 못해 밀림.,법률,세금 등을 정해진 기간까지 내지 못해 밀림.,,2026-08-30 검수: substitute 승격 반려 — DESIGN.md §5.2 LEGAL_RISK_LIST 명단 용어(법적 불이익 전조)라 원어 보존 필요. gloss 유지 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=81689",gloss,high,active,滯納,고급
체류,집을 떠나 어떤 곳에 가서 머물러 있음.,,집을 떠나 어떤 곳에 가서 머물러 있음.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=81698",gloss,low,review,滯留,고급
초과액,일정한 수량이나 정도 등을 넘은 금액.,금융·세무,일정한 수량이나 정도 등을 넘은 금액.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=79215",gloss,low,review,超過額,고급
촉진,다그쳐서 빨리 진행하게 함.,,다그쳐서 빨리 진행하게 함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=80087",gloss,low,review,促進,고급
총회,구성원 전체가 모여서 어떤 일에 관하여 의논함. 또는 그런 모임.,복지,구성원 전체가 모여서 어떤 일에 관하여 의논함. 또는 그런 모임.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=82516",gloss,low,review,總會,고급
최장,가장 긺.,보건·의료,가장 긺.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=79479",gloss,low,review,最長,고급
취약,탄탄하지 못하고 약함.,복지,탄탄하지 못하고 약함.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=78974",gloss,low,review,脆弱,고급
취업자,일정한 직업을 얻어 직장에 나가는 사람.,행정,일정한 직업을 얻어 직장에 나가는 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=78980",gloss,low,review,就業者,고급
취학,교육을 받기 위해 학교에 들어감.,복지,교육을 받기 위해 학교에 들어감.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=79004",gloss,low,review,就學,고급
측정,일정한 양을 기준으로 하여 같은 종류의 다른 양의 크기를 잼.,,일정한 양을 기준으로 하여 같은 종류의 다른 양의 크기를 잼.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=79025",gloss,low,review,測定,고급
친인척,친척과 인척을 아울러 이르는 말.,,친척과 인척을 아울러 이르는 말.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601226",gloss,low,review,親姻戚,고급
컨설팅,어떤 분야의 전문가가 고객을 상대로 상세하게 상담하고 도와주는 일.,,어떤 분야의 전문가가 고객을 상대로 상세하게 상담하고 도와주는 일.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). origin='consulting'은 순수 한자가 아니라 한자 컬럼을 비움. gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=601447",gloss,low,review,,고급
탈락,범위나 순위에 들지 못하고 떨어지거나 빠짐.,복지,범위나 순위에 들지 못하고 떨어지거나 빠짐.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=82533",gloss,low,review,脫落,고급
탈락자,범위나 순위에 들지 못하고 떨어지거나 빠진 사람.,복지,범위나 순위에 들지 못하고 떨어지거나 빠진 사람.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=82541",gloss,low,review,脫落者,고급
팀장,회사 등에서 같은 일을 맡아서 하는 한 팀의 책임자.,,회사 등에서 같은 일을 맡아서 하는 한 팀의 책임자.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). origin='team長'은 순수 한자가 아니라 한자 컬럼을 비움. gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=82681",gloss,low,review,,고급
파악,어떤 일이나 대상의 내용이나 상황을 확실하게 이해하여 앎.,,어떤 일이나 대상의 내용이나 상황을 확실하게 이해하여 앎.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=82407",gloss,low,review,把握,고급
판정,가려 정함,,옳고 그름이나 좋고 나쁨을 구별하여 결정함.,,2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),"한국어기초사전(국립국어원), target_code=80826",substitute,none,active,判定,고급
폐경,여성의 월경이 없어짐. 또는 그런 상태.,,여성의 월경이 없어짐. 또는 그런 상태.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=91811",gloss,low,review,閉經,고급
폐암,폐에 생기는 암.,,폐에 생기는 암.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=83186",gloss,low,review,肺癌,고급
포대,"종이나 가죽, 천 등으로 만든 큰 자루.",,"종이나 가죽, 천 등으로 만든 큰 자루.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=91859",gloss,low,review,包袋,고급
하락,"값이나 가치, 등급 등이 떨어짐.",복지,"값이나 가치, 등급 등이 떨어짐.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=84211",gloss,low,review,下落,고급
학기제,한 학년 동안을 학기별로 나누는 제도.,행정,한 학년 동안을 학기별로 나누는 제도.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=600781",gloss,low,review,學期制,고급
학칙,"학교의 학과, 교과 과정, 입학, 졸업, 상벌 등에 관한 규칙.",행정,"학교의 학과, 교과 과정, 입학, 졸업, 상벌 등에 관한 규칙.",,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=84528",gloss,low,review,學則,고급
한약,우리나라 전통 의술인 한방에서 쓰는 약.,보건·의료,우리나라 전통 의술인 한방에서 쓰는 약.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=85576",gloss,low,review,韓藥,고급
행방불명,간 곳이나 방향을 모름.,복지,간 곳이나 방향을 모름.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=84920",gloss,low,review,行方不明,고급
행정기관,국가 또는 지방 자치 단체의 행정 사무를 맡아보는 기관.,금융·세무,국가 또는 지방 자치 단체의 행정 사무를 맡아보는 기관.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. 질의어와 다른 표기('행정 기관')로 매칭됨 — 확인 필요. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=85700",gloss,low,review,行政機關,고급
향락,놀고 즐김.,,놀고 즐김.,,"[자동 수집, 검토 필요] 한국어기초사전 정의를 그대로 옮김. word_grade=고급(readability 3에 해당하나 현재 파이프라인은 readability를 replace_strategy에서만 파생시켜 이 값은 아직 반영되지 않음). gloss 초안으로 순화어=뜻으로 채움 — 사람이 검토 후 필요하면 substitute로 승격.","한국어기초사전(국립국어원), target_code=85078",gloss,low,review,享樂,고급
